Time_microseconds,Electron_Count,Input_Energy_J,Inelastic_Energy_Transfer_J,Elastic_Energy_Transfer_J,Total_Energy_Transfer_J,Efficiency_percent
0.0007289999999999999,72900,0.80109,0.7017548400000001,0.001924820581485155,0.7036796605814852,87.84027519775009
0.00073,73000,0.80109,0.7185777299999999,0.0019284933244921973,0.7205062233244921,89.94073366591323
0.0007309999999999999,73100,0.80109,0.7065613799999999,0.0019399606935189616,0.7085013406935189,88.4421651367298
0.0007320000000000001,73200,0.80109,0.74020716,0.0019394005948934097,0.7421465605948934,92.64209521959076
0.0007330000000000001,73300,0.80109,0.7185777299999999,0.0019341167643799346,0.7205118467643798,89.94143563948356
0.0007340000000000001,73400,0.80109,0.73540062,0.0019410461857697293,0.7373416661857697,92.04230063863136
0.0007350000000000001,73500,0.80109,0.7113679199999998,0.0019441346916299993,0.7133120546916298,89.04268617656805
0.000736,73600,0.80109,0.7185777299999999,0.0019437926449136127,0.7205215226449135,89.9426434788798
0.0007370000000000001,73700,0.80109,0.7233842699999998,0.0019477464573406564,0.7253320164573405,90.54313703295347
0.000738,73800,0.80109,0.7065613799999999,0.001953846022427426,0.7085152260224273,88.44389844114897
0.0007390000000000001,73900,0.80109,0.7233842699999997,0.0019497133820016018,0.7253339833820013,90.54338256402438
0.00074,74000,0.80109,0.7257875400000002,0.0019507376879046876,0.7277382776879049,90.84351042799803
0.000741,74100,0.80109,0.7281908100000002,0.0019624635878835424,0.7301532735878837,91.1449741711955
0.000742,74200,0.80109,0.7257875400000002,0.0019584249584816624,0.7277459649584819,90.84447002937631
0.0007430000000000001,74300,0.80109,0.69935157,0.0019677819838185826,0.7013193519838186,87.54563806616471
0.000744,74400,0.80109,0.7281908100000001,0.001963012374430491,0.7301538223744306,91.14504267609756
0.000745,74500,0.80109,0.7065613800000001,0.001973669663038227,0.7085350496630384,88.44637302465004
0.0007459999999999999,74600,0.80109,0.7281908100000002,0.0019777147881647637,0.730168524788165,91.14687797728955
0.0007470000000000002,74700,0.80109,0.7137711900000001,0.001972964708767404,0.7157441547087675,89.34628502522133
0.0007480000000000001,74800,0.80109,0.73059408,0.0019722461979633826,0.7325663261979635,91.4461953336537
0.0007490000000000001,74900,0.80109,0.7161744600000001,0.001982373521671287,0.7181568335216714,89.64745952659023
0.00075,75000,0.80109,0.7281908100000001,0.0019799886112501783,0.7301707986112502,91.14716181845051
0.000751,75100,0.80109,0.73059408,0.001990354665816912,0.7325844346658169,91.44845581220878
0.0007520000000000001,75200,0.80109,0.70896465,0.001987638470599687,0.7109522884705997,88.7481167497669
0.0007530000000000001,75300,0.80109,0.71617446,0.0019965409792286567,0.7181710009792286,89.64922804907974
0.000754,75400,0.80109,0.72819081,0.001991203993783615,0.7301820139937836,91.14856183377411
0.000755,75500,0.80109,0.72819081,0.001995815198703429,0.7301866251987034,91.14913745006331
0.0007559999999999999,75600,0.80109,0.7185777299999999,0.0020000604727050536,0.720577790472705,89.9496673872869
0.0007570000000000001,75700,0.80109,0.7426104299999998,0.002000280395889866,0.7446107103958897,92.94969484022907
0.000758,75800,0.80109,0.7233842699999998,0.0020049557377908697,0.7253892257377907,90.55027846286019
0.000759,75900,0.80109,0.7209809999999998,0.0020037664125039795,0.7229847664125038,90.25012999944292
0.0007599999999999999,76000,0.80109,0.6993515699999998,0.0020114752462342526,0.701363045246234,87.55109229254555
0.000761,76100,0.80109,0.7113679200000003,0.0020151156723855284,0.7133830356723858,89.05154672666961
0.0007620000000000001,76200,0.80109,0.7233842700000003,0.0020143476862131975,0.7253986176862135,90.55145085890993
0.0007630000000000001,76300,0.80109,0.7402071600000001,0.002020998709535191,0.7422281587095353,92.65228110569626
0.000764,76400,0.80109,0.7209810000000001,0.002018194656871818,0.7229991946568719,90.25193107602765
0.0007650000000000001,76500,0.80109,0.7161744600000002,0.002020956601034309,0.7181954166010345,89.65227584925448
0.000766,76600,0.80109,0.7185777300000001,0.002023527536244133,0.7206012575362443,89.9525967789637
0.0007670000000000001,76700,0.80109,0.7017548400000001,0.0020257589573614704,0.7037805989573616,87.85287532700568
0.000768,76800,0.80109,0.720981,0.0020279353381659876,0.723008935338166,90.25314700444767
0.000769,76900,0.80109,0.73299735,0.0020350731629719893,0.735032423162972,91.75403801856473
0.00077,77000,0.80109,0.74020716,0.002037277795538227,0.7422444377955382,92.65431322270429
0.000771,77100,0.80109,0.7137711899999999,0.0020391463573824174,0.7158103363573823,89.35454647513549
0.000772,77200,0.80109,0.72819081,0.002042657457149328,0.7302334674571493,91.1549847654209
0.000773,77300,0.80109,0.6969482999999999,0.0020418951485084522,0.6989901951485084,87.25488960650874
0.000774,77400,0.80109,0.73540062,0.0020413553419983453,0.7374419753419983,92.05482222240022
0.000775,77500,0.80109,0.7329973499999999,0.0020569367609628015,0.7350542867609626,91.75676724965484
0.000776,77600,0.80109,0.7065613799999999,0.0020481981639372663,0.7086095781639372,88.45567641141623
0.0007770000000000001,77700,0.80109,0.7329973499999999,0.002054093345075572,0.7350514433450754,91.75641230637358
0.000778,77800,0.80109,0.7137711899999998,0.0020588344535540093,0.7158300244535538,89.35700413857126
0.0007790000000000001,77900,0.80109,0.7089646499999999,0.002062374809533221,0.7110270248095331,88.75744608090004
0.00078,78000,0.80109,0.7161744599999998,0.002064783299228759,0.7182392432992286,89.65774673247634
0.000781,78100,0.80109,0.7065613800000001,0.0020674788590970042,0.7086288588590971,88.4580832190336
0.000782,78200,0.80109,0.7354006200000001,0.0020637108382683986,0.7374643308382685,92.05761285729696
0.0007830000000000001,78300,0.80109,0.7426104300000002,0.00206818324202044,0.7446786132420206,92.95817114704104
0.000784,78400,0.80109,0.70896465,0.002067159630344816,0.7110318096303447,88.75804336973874
0.000785,78500,0.80109,0.7041581100000001,0.002072712729758317,0.7062308227297583,88.15873656257594
0.000786,78600,0.80109,0.7137711900000001,0.002077652799864653,0.7158488427998647,89.35935323126857
0.000787,78700,0.80109,0.72338427,0.0020769519595312397,0.7254612219595313,90.55926574529633
0.000788,78800,0.80109,0.7281908100000001,0.002083031664090049,0.7302738416640902,91.16002467441324
0.000789,78900,0.80109,0.720981,0.0020830504964292106,0.7230640504964292,90.26002702521625
0.0007899999999999999,79000,0.80109,0.73059408,0.002088086981507374,0.7326821669815075,91.46065572928181
0.0007910000000000001,79100,0.80109,0.7257875400000001,0.0020899567898085597,0.7278774967898087,90.86088913728986
0.0007920000000000001,79200,0.80109,0.720981,0.0020929444196162274,0.7230739444196163,90.26126208289533
0.0007930000000000001,79300,0.80109,0.7137711899999999,0.002094185560766263,0.7158653755607661,89.36141701443684
0.000794,79400,0.80109,0.720981,0.0020994709651183624,0.7230804709651183,90.26207679096731
0.000795,79500,0.80109,0.7233842699999998,0.0020986211376895735,0.7254828911376894,90.56197070712959
0.000796,79600,0.80109,0.75222351,0.002107998286452049,0.754331508286452,94.16314125587243
0.0007970000000000001,79700,0.80109,0.6921417599999999,0.0021066667776227185,0.6942484267776227,86.66297504362733
0.000798,79800,0.80109,0.7137711899999999,0.0021018365623299887,0.7158730265623299,89.36237208843681
0.000799,79900,0.80109,0.7233842699999999,0.0021100337418991054,0.725494303741899,90.56339534153098
0.0007999999999999999,80000,0.80109,0.7305940799999998,0.0021087697029928514,0.7327028497029927,91.46323755170405
0.0008010000000000001,80100,0.80109,0.7209809999999999,0.0021101787487874724,0.7230911787487874,90.26341344277743
0.000802,80200,0.80109,0.72338427,0.0021167294415356964,0.7255009994415358,90.56423116527728
0.000803,80300,0.80109,0.7137711900000001,0.002122326612954303,0.7158935166129544,89.36492985958394
0.0008039999999999999,80400,0.80109,0.7209810000000001,0.00212725574394869,0.7231082557439488,90.26554516278965
0.000805,80500,0.80109,0.7257875400000001,0.0021245233072350604,0.7279120633072352,90.8652040728296
0.0008060000000000001,80600,0.80109,0.7113679199999999,0.0021313490526337904,0.7134992690526337,89.06605613009656
