ElectronEnergy,Pressure,MagneticField,Efficiency,FinalTemperature,Steps,ReachedTarget,AvgStepEfficiency,SimulationTime,HeatingRate
150.0,4.0e6,2.0,29.343482231348275,809.4027080722842,20,false,29.343482231348275,1.9999999999999998e-5,470135.40361421066
150.0,2.0e6,0.5,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
150.0,2.0e6,1.0,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
150.0,2.0e6,1.5,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
150.0,2.0e6,2.0,29.343482231348087,818.8054161445685,20,false,29.343482231348087,1.9999999999999998e-5,940270.807228427
200.0,2.0e6,0.5,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,2.0e6,1.0,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,2.0e6,1.5,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,2.0e6,2.0,24.482868559602508,820.920513252706,20,false,24.482868559602508,1.9999999999999998e-5,1.0460256626352988e6
200.0,4.0e6,0.5,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,4.0e6,1.0,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,4.0e6,1.5,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,4.0e6,2.0,24.482868559602505,810.460256626353,20,false,24.482868559602505,1.9999999999999998e-5,523012.8313176522
200.0,1.0e6,0.5,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,1.0e6,1.0,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,1.0e6,1.5,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,1.0e6,2.0,24.482868559602437,841.841026505412,20,false,24.482868559602437,1.9999999999999998e-5,2.0920513252705976e6
200.0,3.0e6,0.5,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
200.0,3.0e6,1.0,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
200.0,3.0e6,1.5,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
200.0,3.0e6,2.0,24.48286855960194,813.9470088351372,20,false,24.48286855960194,1.9999999999999998e-5,697350.4417568621
