elastic_energy_J,electron_count,inelastic_energy_J,input_energy_J,Time_microseconds
3.1738359373696614e-11,94,2.069458939261081e-8,2.4032699999999998e-8,0.00104
3.0160835637166356e-11,99,2.551071105e-8,2.4032699999999998e-8,0.00106
3.6861425432809665e-11,113,2.5463126304e-8,2.4032699999999998e-8,0.00108
3.398357311994345e-11,103,1.4141321333999999e-8,2.4032699999999998e-8,0.0010999999999999998
3.044706434453488e-11,106,1.7435723849999997e-8,2.4032699999999998e-8,0.00112
3.4745127517158955e-11,118,2.6357142743999997e-8,2.4032699999999998e-8,0.00114
4.1803967203067085e-11,125,2.6175090590357956e-8,2.4032699999999998e-8,0.00116
4.3677564028576764e-11,125,2.7516951061263155e-8,2.4032699999999998e-8,0.00118
4.5887462969080375e-11,137,3.005529462e-8,2.4032699999999998e-8,0.0012
2.4074384045995004e-11,90,1.7647692263999998e-8,2.4032699999999998e-8,0.00122
2.5504714062900584e-11,90,1.8592658027999994e-8,2.4032699999999998e-8,0.00124
2.5498058805004497e-11,92,2.0015874521999997e-8,2.4032699999999998e-8,0.0012599999999999998
2.2492695265113696e-11,100,1.6668553162348964e-8,2.4032699999999998e-8,0.0012799999999999999
2.3727929822757767e-11,111,2.1274707348000002e-8,2.4032699999999998e-8,0.0013
2.7125460940139894e-11,110,2.3809212309939553e-8,2.4032699999999998e-8,0.00132
3.1289369325096457e-11,110,2.3040630144e-8,2.4032699999999998e-8,0.00134
2.2654611118967196e-11,119,2.8526814899999997e-8,2.4032699999999998e-8,0.0013599999999999999
3.2998471249318956e-11,112,1.7080911988079425e-8,2.4032699999999998e-8,0.00138
2.33313807532148e-11,112,1.9335749111999998e-8,2.4032699999999998e-8,0.0014
2.468006861832411e-11,107,1.6209094842e-8,2.4032699999999998e-8,0.0014199999999999998
2.369761380838247e-11,117,2.2620057894e-8,2.4032699999999998e-8,0.0014399999999999999
2.4947843334693804e-11,123,2.006009469e-8,2.4032699999999998e-8,0.00146
2.5797123929298328e-11,124,1.856045421e-8,2.4032699999999998e-8,0.00148
2.123933522527532e-11,128,2.046384405e-8,2.4032699999999998e-8,0.0015
2.691590852039332e-11,128,1.6017820331767265e-8,2.4032699999999998e-8,0.0015199999999999999
2.2068191783947676e-11,126,2.4309580481900614e-8,2.4032699999999998e-8,0.00154
2.0529305462504477e-11,119,2.0156706144e-8,2.4032699999999998e-8,0.00156
2.106625544261033e-11,117,1.8365308685999998e-8,2.4032699999999998e-8,0.0015799999999999998
2.664795083385097e-11,135,2.0996408682e-8,2.4032699999999998e-8,0.0015999999999999999
2.389330158244358e-11,113,1.6682861716037955e-8,2.4032699999999998e-8,0.00162
2.2977820790703023e-11,113,1.4641682147999997e-8,2.4032699999999998e-8,0.00164
2.0544161836199116e-11,118,1.9473216155999998e-8,2.4032699999999998e-8,0.00166
1.9335954567743516e-11,115,1.8679175747999997e-8,2.4032699999999998e-8,0.0016799999999999999
1.197063369580142e-11,110,1.9649616173999997e-8,2.4032699999999998e-8,0.0017
1.961321894733583e-11,125,1.89131278103156e-8,2.4032699999999998e-8,0.00172
2.348672323882774e-11,129,1.9176381701054305e-8,2.4032699999999998e-8,0.0017399999999999998
2.5318801239077824e-11,131,1.7086288392e-8,2.4032699999999998e-8,0.0017599999999999998
2.185382069780707e-11,132,2.5690475646e-8,2.4032699999999998e-8,0.00178
2.5303270216669883e-11,137,2.675416294799999e-8,2.4032699999999998e-8,0.0018
1.4047683150125342e-11,87,1.3454064368477895e-8,2.4032699999999998e-8,0.00182
1.0512728594714348e-11,92,1.4298975845999997e-8,2.4032699999999998e-8,0.0018399999999999998
1.1480975811712052e-11,93,8.281952380807108e-9,2.4032699999999998e-8,0.0018599999999999999
1.1089891724169933e-11,103,1.3863022668e-8,2.4032699999999998e-8,0.00188
1.4424665433439179e-11,105,1.1228558094e-8,2.4032699999999998e-8,0.0018999999999999998
8.035012904174495e-12,103,2.0200926311999993e-8,2.4032699999999998e-8,0.0019199999999999998
1.3382716593633887e-11,112,1.0792604916000002e-8,2.4032699999999998e-8,0.0019399999999999999
1.3304636036951792e-11,115,1.7464563089999998e-8,2.4032699999999998e-8,0.00196
1.2851094880328823e-11,130,2.0261969369999995e-8,2.4032699999999998e-8,0.00198
1.4176351652504304e-11,135,1.8644516316051836e-8,2.4032699999999998e-8,0.002
