x_mm,y_mm,temperature_K
15.0,10.000000000000002,800.0
15.0,15.0,800.0
15.0,20.000000000000004,800.0
15.0,25.0,800.0
15.0,30.0,800.0
15.0,34.99999999999999,800.0
15.0,40.00000000000001,800.0
15.0,45.00000000000001,800.0
15.0,50.0,800.0
15.0,55.00000000000001,800.0
15.0,60.0,800.0
15.0,65.0,800.0
15.0,69.99999999999999,800.0
15.0,75.00000000000001,800.0
15.0,80.00000000000001,800.0
15.0,85.0,800.0
15.0,90.00000000000001,800.0
15.0,95.0,800.0
20.000000000000004,0.0,800.0
20.000000000000004,5.000000000000001,800.0
20.000000000000004,10.000000000000002,800.0
20.000000000000004,15.0,800.0
20.000000000000004,20.000000000000004,800.0
20.000000000000004,25.0,800.0
20.000000000000004,30.0,800.0
20.000000000000004,34.99999999999999,800.0
20.000000000000004,40.00000000000001,800.0
20.000000000000004,45.00000000000001,800.0
20.000000000000004,50.0,800.0
20.000000000000004,55.00000000000001,800.0
20.000000000000004,60.0,800.0
20.000000000000004,65.0,800.0
20.000000000000004,69.99999999999999,800.0
20.000000000000004,75.00000000000001,800.0
20.000000000000004,80.00000000000001,800.0
20.000000000000004,85.0,800.0
20.000000000000004,90.00000000000001,800.0
20.000000000000004,95.0,800.0
25.0,0.0,800.0
25.0,5.000000000000001,800.0
25.0,10.000000000000002,800.0
25.0,15.0,800.0
25.0,20.000000000000004,800.0
25.0,25.0,800.0
25.0,30.0,800.0
25.0,34.99999999999999,800.0
25.0,40.00000000000001,800.0
25.0,45.00000000000001,800.0
25.0,50.0,800.0
25.0,55.00000000000001,800.0
25.0,60.0,800.0
25.0,65.0,800.0
25.0,69.99999999999999,800.0
25.0,75.00000000000001,800.0
25.0,80.00000000000001,800.0
25.0,85.0,800.0
25.0,90.00000000000001,800.0
25.0,95.0,800.0
30.0,0.0,800.0
30.0,5.000000000000001,800.0
30.0,10.000000000000002,800.0
30.0,15.0,800.0
30.0,20.000000000000004,800.0
30.0,25.0,800.0
30.0,30.0,800.0
30.0,34.99999999999999,800.0
30.0,40.00000000000001,800.0
30.0,45.00000000000001,800.0
30.0,50.0,800.0
30.0,55.00000000000001,800.0
30.0,60.0,800.0
30.0,65.0,800.0
30.0,69.99999999999999,800.0
30.0,75.00000000000001,800.0
30.0,80.00000000000001,800.0
30.0,85.0,800.0
